Household_Size,Daily_Meal_Count,Meal_Type,Shopping_Habit,Storage_Availability,Awareness_of_Waste_Management,Leftovers_Frequency,Income_Range,Cooking_Preference,Cultural_Cuisine_Preference,Perishability_Awareness,Seasonal_Variation,Weekly_Food_Waste_kg
3,1,Non-Vegetarian,Weekly,Large,Low,Sometimes,Medium,Batch Cooking,Chinese,Somewhat aware,Summer,2.5
6,2,Vegetarian,Weekly,Medium,High,Sometimes,Low,Batch Cooking,South Indian,Not aware,Monsoon,1.76
2,4,Vegetarian,Weekly,Medium,High,Sometimes,Low,Fresh Daily,Indian,Somewhat aware,All year,1.67
6,4,Mixed,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,North Indian,Somewhat aware,Summer,2.76
4,4,Mixed,Weekly,Medium,Low,Never,Medium,Reheated,South Indian,Somewhat aware,Winter,2.89
4,2,Non-Vegetarian,Daily,Medium,High,Often,High,Fresh Daily,North Indian,Somewhat aware,Monsoon,3.03
2,4,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Fusion,Not aware,All year,3.38
6,4,Vegetarian,Bulk Buying,Medium,Low,Never,Medium,Fresh Daily,Italian,Not aware,All year,4.26
1,4,Non-Vegetarian,Weekly,Medium,Low,Often,Medium,Batch Cooking,Italian,Somewhat aware,All year,3.55
2,1,Vegetarian,Daily,Large,Low,Often,High,Fresh Daily,North Indian,Not aware,Winter,2.14
3,3,Non-Vegetarian,Weekly,Medium,Low,Often,Low,Fresh Daily,Street Food,Not aware,Summer,4.54
3,4,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Fusion,Somewhat aware,Monsoon,2.58
3,4,Mixed,Daily,Medium,Low,Often,Low,Fresh Daily,Italian,Not aware,Summer,3.4
1,1,Non-Vegetarian,Weekly,Large,Medium,Never,Medium,Fresh Daily,South Indian,Not aware,Monsoon,1.98
2,4,Mixed,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Chinese,Aware,All year,2.21
1,1,Mixed,Weekly,Large,Medium,Often,High,Fresh Daily,Chinese,Somewhat aware,Monsoon,1.73
4,2,Non-Vegetarian,Weekly,Small,Low,Sometimes,Medium,Batch Cooking,Italian,Not aware,Winter,2.99
3,3,Non-Vegetarian,Weekly,Medium,Low,Sometimes,High,Fresh Daily,Fusion,Not aware,Summer,3.75
4,2,Non-Vegetarian,Bulk Buying,Large,Medium,Never,Medium,Reheated,Italian,Aware,Summer,2.93
4,3,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Indian,Not aware,All year,2.5
5,1,Mixed,Weekly,Large,High,Sometimes,Low,Batch Cooking,South Indian,Somewhat aware,All year,0.26
4,3,Vegetarian,Weekly,Medium,High,Sometimes,High,Fresh Daily,Italian,Somewhat aware,Winter,1.6
4,3,Mixed,Daily,Large,High,Sometimes,Medium,Reheated,Fusion,Somewhat aware,All year,1.46
4,3,Mixed,Bulk Buying,Medium,High,Sometimes,Medium,Fresh Daily,Chinese,Not aware,Winter,2.92
4,2,Mixed,Weekly,Medium,Low,Never,Medium,Fresh Daily,Italian,Not aware,Winter,2.44
4,2,Vegetarian,Weekly,Large,Low,Sometimes,Low,Reheated,South Indian,Somewhat aware,Monsoon,1.48
2,2,Non-Vegetarian,Weekly,Small,Medium,Never,High,Batch Cooking,Italian,Aware,Monsoon,2.33
2,2,Mixed,Daily,Medium,High,Often,Medium,Fresh Daily,North Indian,Not aware,All year,1.95
5,3,Mixed,Weekly,Medium,Medium,Sometimes,High,Batch Cooking,Street Food,Not aware,Summer,4.11
3,2,Non-Vegetarian,Weekly,Medium,Low,Never,High,Batch Cooking,South Indian,Not aware,Monsoon,2.24
4,2,Vegetarian,Weekly,Medium,Low,Often,High,Batch Cooking,Street Food,Somewhat aware,Summer,3.6
2,2,Mixed,Bulk Buying,Medium,Medium,Sometimes,High,Fresh Daily,Fusion,Not aware,Winter,2.65
3,1,Mixed,Bulk Buying,Small,Medium,Sometimes,Medium,Batch Cooking,Fusion,Not aware,Summer,2.65
4,3,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Fresh Daily,South Indian,Not aware,Winter,3.45
4,4,Vegetarian,Weekly,Small,Medium,Often,Medium,Batch Cooking,Indian,Not aware,Monsoon,4.33
4,2,Mixed,Bulk Buying,Large,High,Sometimes,Medium,Reheated,North Indian,Aware,Winter,1.38
3,4,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Medium,Fresh Daily,North Indian,Somewhat aware,Summer,3.69
6,3,Vegetarian,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,Fusion,Aware,Monsoon,2.88
4,1,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Low,Batch Cooking,South Indian,Somewhat aware,Summer,1.7
5,2,Vegetarian,Weekly,Small,Low,Never,Low,Reheated,Indian,Aware,All year,2.69
5,1,Mixed,Weekly,Large,Medium,Never,Medium,Reheated,North Indian,Not aware,Summer,2.55
4,1,Mixed,Weekly,Medium,High,Often,Low,Reheated,Italian,Somewhat aware,Monsoon,2.44
6,2,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Batch Cooking,North Indian,Somewhat aware,All year,3.94
1,2,Non-Vegetarian,Weekly,Large,High,Never,Medium,Fresh Daily,Fusion,Somewhat aware,All year,0.92
6,4,Non-Vegetarian,Daily,Medium,High,Often,Low,Fresh Daily,Chinese,Somewhat aware,Summer,3.58
6,1,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Batch Cooking,Italian,Not aware,Monsoon,3.46
4,4,Vegetarian,Bulk Buying,Medium,Low,Never,Low,Reheated,Chinese,Somewhat aware,Monsoon,3.81
5,1,Vegetarian,Weekly,Small,Medium,Often,High,Fresh Daily,Chinese,Not aware,All year,3.62
4,1,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Reheated,South Indian,Somewhat aware,Summer,1.57
2,3,Vegetarian,Daily,Small,Medium,Often,Low,Fresh Daily,South Indian,Aware,Monsoon,3.42
5,4,Vegetarian,Weekly,Small,Medium,Sometimes,Medium,Batch Cooking,Street Food,Somewhat aware,Summer,4.05
2,3,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,Summer,1.72
2,1,Mixed,Daily,Large,Low,Often,Medium,Fresh Daily,Fusion,Somewhat aware,Monsoon,1.88
4,1,Vegetarian,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,Italian,Somewhat aware,All year,0.77
6,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,Indian,Somewhat aware,All year,2.13
3,2,Non-Vegetarian,Daily,Large,Low,Often,Medium,Fresh Daily,North Indian,Not aware,All year,3.34
3,4,Non-Vegetarian,Daily,Large,Medium,Often,High,Fresh Daily,Indian,Somewhat aware,Winter,4.21
1,2,Mixed,Daily,Small,High,Sometimes,Medium,Reheated,Indian,Not aware,Summer,1.41
1,1,Mixed,Daily,Small,Medium,Sometimes,Medium,Fresh Daily,Chinese,Somewhat aware,All year,0.7
1,4,Mixed,Bulk Buying,Medium,Medium,Sometimes,Medium,Reheated,Fusion,Aware,Monsoon,2.02
1,1,Non-Vegetarian,Bulk Buying,Small,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Summer,2.09
6,1,Non-Vegetarian,Bulk Buying,Medium,Low,Often,Medium,Batch Cooking,Street Food,Not aware,Monsoon,5.05
6,2,Vegetarian,Weekly,Medium,High,Sometimes,High,Batch Cooking,North Indian,Aware,Summer,1.56
5,2,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,High,Fresh Daily,Street Food,Somewhat aware,All year,4.84
1,3,Mixed,Bulk Buying,Medium,Medium,Often,Low,Fresh Daily,Street Food,Somewhat aware,Monsoon,4.22
1,4,Mixed,Weekly,Large,Medium,Sometimes,Medium,Reheated,Indian,Aware,Monsoon,1.83
2,4,Non-Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Summer,3.85
4,2,Non-Vegetarian,Daily,Small,High,Sometimes,High,Batch Cooking,South Indian,Somewhat aware,Winter,2.26
3,4,Non-Vegetarian,Bulk Buying,Large,Medium,Often,Medium,Reheated,Chinese,Not aware,Monsoon,5.41
3,3,Vegetarian,Weekly,Small,High,Sometimes,Low,Reheated,Street Food,Somewhat aware,Winter,2.17
2,1,Mixed,Daily,Large,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Winter,1.42
5,4,Mixed,Weekly,Small,Medium,Never,High,Batch Cooking,Street Food,Aware,All year,4.37
2,1,Non-Vegetarian,Bulk Buying,Medium,High,Often,Medium,Batch Cooking,Chinese,Somewhat aware,Winter,1.85
1,3,Vegetarian,Weekly,Small,Medium,Often,High,Fresh Daily,Italian,Not aware,Winter,3.63
5,4,Vegetarian,Weekly,Large,Medium,Sometimes,Medium,Fresh Daily,Indian,Aware,Summer,2.59
6,1,Vegetarian,Weekly,Small,Low,Sometimes,Low,Reheated,Italian,Not aware,Summer,2.44
1,2,Non-Vegetarian,Bulk Buying,Small,High,Sometimes,High,Fresh Daily,Street Food,Somewhat aware,All year,3.7
3,2,Mixed,Weekly,Medium,Low,Often,Low,Reheated,Fusion,Somewhat aware,Winter,2.16
5,4,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,Street Food,Not aware,Monsoon,4.22
5,1,Non-Vegetarian,Weekly,Large,Low,Sometimes,Medium,Reheated,Chinese,Not aware,All year,3.01
6,3,Mixed,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,Italian,Not aware,Winter,3.1
3,2,Mixed,Weekly,Medium,High,Sometimes,Medium,Fresh Daily,Italian,Aware,Summer,0.1
3,1,Vegetarian,Daily,Small,Medium,Sometimes,Low,Fresh Daily,Chinese,Somewhat aware,Monsoon,0.99
5,3,Mixed,Bulk Buying,Medium,Low,Sometimes,Low,Batch Cooking,Street Food,Not aware,Winter,4.28
1,4,Vegetarian,Daily,Small,Low,Sometimes,Low,Fresh Daily,Italian,Somewhat aware,All year,2.74
2,3,Vegetarian,Bulk Buying,Large,Low,Sometimes,Low,Batch Cooking,Indian,Not aware,Monsoon,2.87
4,1,Mixed,Weekly,Small,High,Often,Medium,Fresh Daily,Italian,Somewhat aware,Winter,2.15
5,1,Mixed,Weekly,Medium,Medium,Often,Medium,Fresh Daily,South Indian,Not aware,Summer,3.51
1,2,Non-Vegetarian,Daily,Medium,High,Sometimes,Low,Fresh Daily,Indian,Not aware,Summer,0.99
4,3,Vegetarian,Weekly,Medium,Low,Never,Low,Fresh Daily,South Indian,Somewhat aware,All year,2.01
3,3,Vegetarian,Daily,Small,Low,Sometimes,Medium,Reheated,Street Food,Somewhat aware,All year,3.01
4,1,Mixed,Daily,Small,Low,Often,Low,Batch Cooking,Italian,Somewhat aware,Winter,2.53
6,3,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,Chinese,Somewhat aware,Winter,2.92
1,2,Vegetarian,Daily,Large,Medium,Sometimes,Medium,Batch Cooking,Street Food,Somewhat aware,Winter,2.15
6,3,Vegetarian,Daily,Medium,Medium,Often,Medium,Fresh Daily,Fusion,Not aware,Summer,4.11
3,4,Non-Vegetarian,Weekly,Small,Low,Sometimes,Low,Fresh Daily,North Indian,Not aware,All year,3.61
5,3,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Low,Fresh Daily,Street Food,Somewhat aware,Winter,3.32
3,1,Non-Vegetarian,Daily,Medium,High,Sometimes,Low,Fresh Daily,Chinese,Not aware,Winter,1.13
2,4,Vegetarian,Daily,Small,Medium,Sometimes,Low,Reheated,Fusion,Aware,Summer,3.27
5,1,Mixed,Daily,Large,Medium,Never,Medium,Batch Cooking,North Indian,Aware,Monsoon,1.51
5,4,Mixed,Weekly,Medium,Medium,Often,High,Reheated,Chinese,Somewhat aware,Monsoon,4.24
1,1,Mixed,Daily,Small,Medium,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Monsoon,2.71
5,3,Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,North Indian,Not aware,Monsoon,2.65
5,1,Vegetarian,Daily,Large,High,Sometimes,High,Fresh Daily,South Indian,Not aware,All year,1.52
3,1,Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Indian,Not aware,Summer,0.91
6,3,Mixed,Weekly,Small,Medium,Often,Low,Fresh Daily,North Indian,Not aware,Summer,3.67
4,3,Vegetarian,Daily,Medium,High,Sometimes,Low,Reheated,Street Food,Aware,Summer,2.05
3,1,Non-Vegetarian,Bulk Buying,Small,High,Sometimes,High,Fresh Daily,South Indian,Not aware,Monsoon,2.27
1,4,Vegetarian,Daily,Small,High,Sometimes,Medium,Fresh Daily,Italian,Not aware,Winter,2.27
5,2,Non-Vegetarian,Daily,Small,Low,Often,Low,Fresh Daily,North Indian,Not aware,Summer,3.49
2,2,Non-Vegetarian,Weekly,Large,Medium,Often,Medium,Fresh Daily,Italian,Somewhat aware,Monsoon,2.55
5,2,Mixed,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Chinese,Not aware,All year,2.14
4,2,Vegetarian,Bulk Buying,Medium,High,Often,Medium,Batch Cooking,Fusion,Aware,Monsoon,3.78
3,1,Mixed,Weekly,Small,Low,Sometimes,High,Fresh Daily,Indian,Not aware,Winter,2.02
1,2,Mixed,Daily,Medium,High,Sometimes,Medium,Fresh Daily,North Indian,Somewhat aware,All year,0.55
5,1,Vegetarian,Daily,Small,Low,Sometimes,Low,Batch Cooking,Italian,Not aware,Summer,2.07
1,1,Mixed,Bulk Buying,Large,Medium,Never,Medium,Fresh Daily,Fusion,Not aware,All year,1.58
3,2,Mixed,Weekly,Medium,Medium,Sometimes,High,Batch Cooking,Indian,Not aware,Monsoon,1.94
6,3,Non-Vegetarian,Weekly,Medium,Medium,Never,Low,Fresh Daily,Italian,Not aware,All year,4.37
6,4,Mixed,Bulk Buying,Medium,Medium,Never,Medium,Fresh Daily,Fusion,Somewhat aware,All year,3.29
6,2,Mixed,Daily,Medium,Low,Never,Low,Fresh Daily,Italian,Not aware,Winter,2.54
6,2,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Street Food,Aware,All year,2.85
4,4,Vegetarian,Daily,Large,Medium,Sometimes,High,Batch Cooking,Chinese,Not aware,All year,3.28
2,3,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Low,Reheated,Street Food,Not aware,Winter,4.39
6,4,Mixed,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Chinese,Somewhat aware,All year,2.35
5,4,Vegetarian,Weekly,Small,Medium,Often,High,Fresh Daily,Chinese,Not aware,Winter,5.58
6,4,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,Monsoon,2.55
4,4,Mixed,Weekly,Small,High,Often,Medium,Reheated,South Indian,Somewhat aware,All year,3.49
1,2,Non-Vegetarian,Daily,Medium,Medium,Often,Medium,Batch Cooking,Chinese,Aware,Monsoon,2.2
4,2,Vegetarian,Bulk Buying,Small,Medium,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Monsoon,3.56
3,2,Mixed,Weekly,Large,High,Often,Low,Fresh Daily,Fusion,Not aware,All year,2.91
6,1,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,Street Food,Not aware,All year,2.92
3,3,Mixed,Daily,Large,Low,Never,Medium,Fresh Daily,Fusion,Not aware,All year,1.85
2,3,Vegetarian,Daily,Medium,High,Never,Low,Fresh Daily,North Indian,Not aware,Winter,1.12
1,4,Vegetarian,Daily,Medium,Medium,Often,Low,Fresh Daily,Street Food,Not aware,Monsoon,4.41
6,1,Non-Vegetarian,Weekly,Small,Low,Sometimes,Medium,Batch Cooking,South Indian,Somewhat aware,All year,2.13
5,2,Mixed,Weekly,Small,Medium,Sometimes,Medium,Fresh Daily,Italian,Not aware,Winter,2.26
1,1,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,Fusion,Not aware,Winter,1.76
3,4,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Batch Cooking,Fusion,Somewhat aware,Winter,3.97
3,2,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,North Indian,Not aware,Summer,2.32
3,1,Vegetarian,Weekly,Medium,Medium,Sometimes,High,Reheated,Indian,Somewhat aware,Monsoon,1.06
6,3,Non-Vegetarian,Weekly,Medium,Low,Often,Low,Fresh Daily,Chinese,Not aware,Winter,4.78
1,4,Mixed,Weekly,Large,High,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Winter,2.7
2,4,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,North Indian,Not aware,Winter,2.98
2,1,Mixed,Daily,Medium,Medium,Often,Low,Batch Cooking,North Indian,Not aware,Winter,2.3
2,2,Mixed,Weekly,Medium,Medium,Never,High,Fresh Daily,Indian,Aware,Winter,1.05
6,1,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Reheated,Italian,Not aware,Summer,3.2
6,2,Mixed,Daily,Medium,Medium,Often,Low,Batch Cooking,Italian,Somewhat aware,Summer,3.38
1,3,Mixed,Bulk Buying,Medium,Low,Sometimes,Medium,Batch Cooking,North Indian,Not aware,All year,2.8
4,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,Indian,Not aware,Monsoon,2.47
2,1,Non-Vegetarian,Daily,Small,Medium,Sometimes,High,Fresh Daily,Indian,Somewhat aware,Winter,1.59
2,3,Non-Vegetarian,Daily,Medium,Medium,Often,Low,Batch Cooking,South Indian,Somewhat aware,Monsoon,3.72
2,1,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,North Indian,Not aware,Monsoon,1.48
2,1,Mixed,Weekly,Medium,Medium,Sometimes,Low,Reheated,Fusion,Aware,Monsoon,1.3
3,1,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Fresh Daily,Street Food,Somewhat aware,Summer,3.48
6,1,Vegetarian,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,Fusion,Not aware,All year,1.76
4,2,Vegetarian,Weekly,Medium,Low,Often,Medium,Reheated,Indian,Not aware,Winter,3.38
5,4,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Summer,4.2
3,4,Vegetarian,Daily,Medium,High,Sometimes,Low,Fresh Daily,Italian,Somewhat aware,Winter,1.38
1,1,Non-Vegetarian,Bulk Buying,Large,High,Sometimes,Medium,Fresh Daily,Street Food,Somewhat aware,Monsoon,1.36
1,1,Vegetarian,Daily,Medium,Medium,Never,Medium,Fresh Daily,Street Food,Not aware,Monsoon,1.45
2,2,Mixed,Weekly,Large,Medium,Often,Low,Fresh Daily,South Indian,Aware,Monsoon,2.37
2,3,Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,South Indian,Not aware,All year,2.23
6,3,Mixed,Bulk Buying,Small,Medium,Sometimes,Low,Fresh Daily,Italian,Somewhat aware,All year,3.33
6,4,Non-Vegetarian,Weekly,Medium,High,Often,High,Fresh Daily,Italian,Somewhat aware,Monsoon,4.16
6,2,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Monsoon,3.86
4,1,Non-Vegetarian,Weekly,Medium,High,Often,Medium,Fresh Daily,North Indian,Aware,Winter,1.97
4,1,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Summer,3.14
4,1,Vegetarian,Daily,Medium,Medium,Sometimes,High,Fresh Daily,Italian,Aware,All year,1.3
3,1,Mixed,Weekly,Small,Medium,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,Monsoon,1.22
5,4,Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,Fusion,Aware,All year,3.45
5,2,Vegetarian,Daily,Small,Medium,Sometimes,High,Batch Cooking,Indian,Not aware,Winter,2.66
5,4,Non-Vegetarian,Daily,Medium,Low,Never,High,Batch Cooking,Fusion,Not aware,Monsoon,3.72
4,3,Mixed,Daily,Large,Low,Sometimes,High,Batch Cooking,Italian,Somewhat aware,Winter,2.44
1,3,Non-Vegetarian,Bulk Buying,Small,Low,Sometimes,High,Batch Cooking,Indian,Aware,Summer,3.36
5,2,Mixed,Daily,Medium,Low,Often,High,Batch Cooking,Street Food,Not aware,Monsoon,5.13
3,4,Vegetarian,Daily,Small,Medium,Sometimes,High,Batch Cooking,North Indian,Somewhat aware,Summer,2.75
5,1,Non-Vegetarian,Weekly,Small,Medium,Often,Medium,Batch Cooking,South Indian,Somewhat aware,Monsoon,3.74
4,1,Non-Vegetarian,Bulk Buying,Large,Low,Never,Medium,Batch Cooking,Fusion,Somewhat aware,Summer,2.29
6,2,Non-Vegetarian,Daily,Small,Medium,Often,Medium,Fresh Daily,North Indian,Aware,Monsoon,3.82
3,2,Non-Vegetarian,Daily,Medium,Medium,Often,Low,Fresh Daily,North Indian,Aware,All year,3.49
6,3,Mixed,Weekly,Small,Medium,Never,Medium,Reheated,South Indian,Not aware,Summer,3.49
6,3,Mixed,Weekly,Large,High,Sometimes,Medium,Reheated,Chinese,Somewhat aware,Monsoon,2.08
2,3,Vegetarian,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,Indian,Not aware,Winter,2.01
3,2,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Medium,Batch Cooking,Chinese,Somewhat aware,Winter,2.41
4,2,Vegetarian,Daily,Small,Medium,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,Monsoon,1.86
5,4,Vegetarian,Weekly,Small,Medium,Sometimes,Medium,Fresh Daily,South Indian,Aware,Monsoon,3.68
5,1,Mixed,Weekly,Small,High,Sometimes,Low,Fresh Daily,Italian,Somewhat aware,All year,0.99
6,3,Mixed,Weekly,Medium,High,Often,Low,Batch Cooking,Street Food,Not aware,Monsoon,4.26
3,3,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Reheated,Indian,Somewhat aware,Summer,3.26
4,4,Non-Vegetarian,Daily,Large,Medium,Never,High,Fresh Daily,Indian,Not aware,Winter,3.24
3,3,Vegetarian,Daily,Medium,High,Sometimes,Medium,Batch Cooking,Indian,Somewhat aware,All year,1.22
6,2,Vegetarian,Bulk Buying,Medium,Medium,Often,Low,Fresh Daily,Chinese,Somewhat aware,Summer,4.24
2,2,Vegetarian,Weekly,Medium,Low,Never,Low,Fresh Daily,South Indian,Somewhat aware,Summer,0.56
4,2,Vegetarian,Weekly,Small,Low,Never,Low,Batch Cooking,South Indian,Aware,Monsoon,2.1
1,2,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Fresh Daily,South Indian,Not aware,Winter,2.63
6,1,Mixed,Weekly,Large,Medium,Never,Medium,Fresh Daily,Italian,Somewhat aware,Monsoon,1.85
3,3,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,North Indian,Aware,Winter,2.6
3,1,Non-Vegetarian,Bulk Buying,Small,Low,Often,High,Batch Cooking,South Indian,Aware,All year,4.07
4,3,Non-Vegetarian,Daily,Medium,High,Often,Medium,Batch Cooking,South Indian,Somewhat aware,Summer,3.36
3,4,Non-Vegetarian,Daily,Small,Medium,Never,Low,Reheated,Fusion,Not aware,Winter,3.57
6,4,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Fusion,Somewhat aware,Winter,2.9
4,1,Vegetarian,Daily,Large,Low,Sometimes,Low,Batch Cooking,Italian,Aware,Summer,1.13
4,4,Non-Vegetarian,Weekly,Small,High,Often,Low,Batch Cooking,North Indian,Not aware,Summer,4.47
1,1,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,Low,Batch Cooking,Chinese,Somewhat aware,Winter,1.94
1,2,Non-Vegetarian,Daily,Small,Medium,Often,Medium,Batch Cooking,Chinese,Not aware,Monsoon,3.93
3,1,Vegetarian,Weekly,Medium,High,Sometimes,Low,Batch Cooking,North Indian,Not aware,Winter,1.2
6,1,Mixed,Weekly,Large,Medium,Sometimes,Low,Fresh Daily,North Indian,Not aware,Monsoon,2.23
6,1,Vegetarian,Daily,Small,Medium,Sometimes,Medium,Batch Cooking,Chinese,Not aware,Summer,1.76
4,1,Vegetarian,Weekly,Medium,Medium,Sometimes,High,Fresh Daily,Indian,Aware,Winter,1.33
4,4,Mixed,Daily,Small,High,Sometimes,High,Batch Cooking,Chinese,Somewhat aware,Summer,2.08
3,1,Non-Vegetarian,Bulk Buying,Small,High,Often,Low,Batch Cooking,Italian,Not aware,Monsoon,4.06
2,2,Non-Vegetarian,Bulk Buying,Large,Low,Sometimes,Low,Reheated,Fusion,Not aware,All year,3.11
1,3,Non-Vegetarian,Daily,Small,High,Often,Low,Batch Cooking,Chinese,Not aware,All year,3.86
3,4,Mixed,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,South Indian,Somewhat aware,Summer,2.61
2,4,Vegetarian,Daily,Medium,Low,Sometimes,Low,Batch Cooking,Indian,Somewhat aware,All year,2.21
2,1,Mixed,Weekly,Large,Medium,Sometimes,Low,Batch Cooking,South Indian,Somewhat aware,Winter,1.06
2,4,Mixed,Bulk Buying,Medium,High,Often,Low,Batch Cooking,Street Food,Not aware,Monsoon,4.78
1,3,Vegetarian,Weekly,Small,Low,Never,Medium,Reheated,Italian,Not aware,Monsoon,2.55
4,1,Vegetarian,Daily,Large,Medium,Sometimes,Low,Fresh Daily,Fusion,Somewhat aware,Monsoon,0.8
6,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,North Indian,Somewhat aware,Winter,2.18
5,4,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,High,Fresh Daily,Chinese,Not aware,Summer,4.86
3,2,Mixed,Bulk Buying,Medium,Low,Never,High,Batch Cooking,Italian,Not aware,Summer,3.73
3,1,Mixed,Weekly,Small,Low,Never,Medium,Batch Cooking,Chinese,Somewhat aware,All year,1.6
2,4,Non-Vegetarian,Weekly,Large,Medium,Never,High,Batch Cooking,Street Food,Not aware,Winter,4.23
1,4,Mixed,Daily,Small,Low,Sometimes,High,Batch Cooking,Street Food,Aware,All year,3.43
4,4,Non-Vegetarian,Daily,Small,Medium,Never,Low,Reheated,Indian,Not aware,Winter,3.92
4,4,Mixed,Bulk Buying,Medium,Low,Sometimes,Low,Batch Cooking,North Indian,Somewhat aware,Summer,3.54
1,4,Mixed,Daily,Small,Low,Sometimes,Medium,Reheated,South Indian,Somewhat aware,All year,2.3
3,2,Vegetarian,Daily,Medium,Low,Never,Medium,Fresh Daily,South Indian,Not aware,Winter,2.39
2,1,Vegetarian,Daily,Medium,High,Sometimes,Low,Batch Cooking,Indian,Somewhat aware,All year,0.1
2,3,Non-Vegetarian,Bulk Buying,Small,Low,Sometimes,Medium,Fresh Daily,Fusion,Somewhat aware,Winter,2.96
5,1,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Low,Fresh Daily,North Indian,Somewhat aware,Summer,2.61
4,2,Non-Vegetarian,Daily,Medium,Medium,Often,Medium,Batch Cooking,Italian,Aware,Monsoon,3.99
4,3,Non-Vegetarian,Weekly,Medium,Medium,Often,Low,Batch Cooking,Street Food,Not aware,All year,5.48
5,4,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,Fusion,Somewhat aware,Monsoon,2.83
6,2,Mixed,Weekly,Medium,Medium,Often,Medium,Batch Cooking,Fusion,Somewhat aware,Summer,3.35
5,2,Vegetarian,Daily,Small,Medium,Sometimes,High,Fresh Daily,Street Food,Somewhat aware,Winter,3.67
4,3,Mixed,Daily,Medium,Low,Often,Medium,Batch Cooking,Italian,Aware,Summer,3.58
